"Services_id","user_id","name","description","job","amount"
"2","1","MY service 1","hello my service","doctor","100"
"3","1","Outdoor Outlet Outage","Outdoor power outlet seems to have given up the ghost – no power for my garden tools! Looking for someone to revive it and bring the juice back","electricity","50"
"4","1","Circuit Breaker Conundrum","Circuit breaker keeps tripping without any apparent reason. Need an expert to diagnose and resolve this frustrating problem once and for all","electricity","90"
"5","1","Dimming Dilemma","Lights in certain rooms are dimming randomly, even with new bulbs. Seeking an electrician to shed some light on this puzzling issue","electricity","70"
"6","1","Sparking Socket","Noticed sparks flying out of one of my sockets – definitely not normal! Looking for someone to investigate and put an end to this shocking situation","electricity","60"
"7","1","Fuse Box Fiasco","My fuse box keeps tripping every time I plug in my appliances. Need someone to take a look and fix it up pronto","electricity","80"
"8","1","Power Outage Panic","Suddenly lost all power in the house. Need someone to diagnose and fix ASAP","electricity","80"
"9","1","Sparking Switches Spell Trouble","Noticed sparks when flipping switches. Need a pro to investigate and ensure safety","electricity","60"
"10","1","Flickering Fix Needed","Lights flickering intermittently. Looking for someone to identify and repair the underlying issue","electricity","70"
"11","1","Hot Outlet Alert","Outlet feels hot to the touch, worried about potential fire hazard. Seeking professional help urgently","electricity","80"
"12","1","Ceiling Fan Conundrum","Ceiling fan acting up, making strange noises and spinning irregularly. Need an expert to take a look and fix it","electricity","60"
"13","1","Wobbly Table Woes","Dining table has a wobble that just won't quit. Need a carpenter to stabilize it before dinner time","carpenter","40"
"14","1","Creaky Door Distress","Bedroom door is creaking loudly with every use. Seeking a carpenter to silence the noise.","carpenter","30"
"15","1","Stuck Drawer Dilemma","BKitchen drawer jammed shut, can't access utensils. Need a carpenter to fix the issue","carpenter","40"
"16","1","Loose Cabinet Handles","Cabinet handles coming loose, need tightening or replacement. Seeking a skilled carpenter for assistance","carpenter","20"
"17","1","Broken Chair Repair","Favorite chair has a broken leg, need someone to repair it and save it from the scrap heap","carpenter","30"
"18","1","Shaky Bookshelf","Bookshelf wobbling dangerously, afraid it might collapse. Need a carpenter to reinforce it","carpenter","40"
"19","1","Staircase Squeaks","Stairs creaking loudly with every step, disrupting the peace at home. Seeking a carpenter to fix the squeaks","carpenter","50"
"20","1","Warped Window Woes","Window frame warped, causing difficulty in opening and closing. Need a carpenter to realign and repair","carpenter","40"
"21","1","Leaky Roof Repair","Roof leaking during heavy rain, causing damage to the interior. Need a skilled carpenter to patch it up","carpenter","80"
"22","1","Fence Repair Needed","Fence panels damaged or leaning, compromising security and aesthetics. Looking for a carpenter to restore and reinforce the fence","carpenter","80"
"23","1","Dripping Faucet Frustration","Constant drip from the faucet driving me crazy! Need a plumber to diagnose and repair the issue","plumbing","60"
"24","1","Clogged Sink","CSink draining slowly or not at all. Seeking a plumber to unclog and restore proper drainage","plumbing","50"
"25","1","Running Toilet Trouble","Toilet constantly running, wasting water and driving up bills. Need a plumber to fix the flushing mechanism","plumbing","70"
"26","1","Leaky Pipe Alert","Water pooling under sink due to a leaky pipe. Need a plumber to locate and seal the leak","plumbing","80"
"27","1","Low Water Pressure Woes","Water pressure in the shower and faucets significantly reduced. Seeking a plumber to identify and rectify the cause","plumbing","70"
"28","1","Burst Pipe Emergency","Pipe burst causing water damage and flooding. Urgently need a plumber to repair and prevent further damage","plumbing","100"
